
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
1,Quincy Acy,SF,23,TOT,63,847,10.1,.520,.482,.376,.106,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,109,107,0.6,0.9,1.5,.086
1,Quincy Acy,SF,23,TOR,7,61,17.2,.542,.500,.571,.357,9.5,19.2,14.3,10.1,3.4,3.9,10.2,14.5,118,98,0.1,0.1,0.2,.188
1,Quincy Acy,SF,23,SAC,56,786,9.6,.518,.480,.354,.079,9.5,19.5,14.4,4.4,1.2,2.4,16.0,9.8,109,107,0.5,0.7,1.3,.078
2,Steven Adams,C,20,OKC,81,1197,11.2,.541,.503,.735,.000,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,108,102,0.9,1.9,2.9,.114
3,Jeff Adrien,PF,27,TOT,53,961,17.4,.553,.520,.433,.000,11.8,24.8,18.2,6.8,1.3,3.0,10.6,17.3,114,106,1.6,1.1,2.7,.134
3,Jeff Adrien,PF,27,CHA,25,256,14.9,.559,.550,.625,.000,14.5,24.4,19.4,4.1,1.4,4.6,13.6,10.6,119,99,0.4,0.5,0.9,.170
3,Jeff Adrien,PF,27,MIL,28,705,18.4,.552,.515,.400,.000,10.9,25.0,17.7,7.7,1.3,2.4,10.1,19.7,113,109,1.2,0.6,1.8,.121
4,Arron Afflalo,SG,28,ORL,73,2552,16.0,.574,.522,.332,.297,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,110,112,4.3,1.0,5.3,.099
5,Alexis Ajinca,C,25,NOP,56,951,14.6,.589,.546,.269,.004,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,110,107,1.2,0.9,2.1,.104
6,Cole Aldrich,C,25,NYK,46,330,19.1,.620,.541,.492,.000,12.8,33.8,23.0,6.4,1.3,8.1,19.5,13.0,120,100,0.6,0.6,1.2,.178
7,LaMarcus Aldridge,PF,28,POR,69,2498,21.8,.507,.459,.253,.011,7.2,25.5,16.5,13.0,1.3,1.9,7.2,29.8,108,104,4.0,3.5,7.5,.144
8,Lavoy Allen,PF,24,TOT,65,1072,12.5,.470,.450,.167,.043,11.7,20.0,15.7,10.1,1.1,2.4,12.0,14.6,104,108,0.6,0.9,1.5,.066
8,Lavoy Allen,PF,24,PHI,51,960,11.9,.464,.444,.150,.049,11.5,20.0,15.6,10.2,1.1,2.2,12.4,14.3,103,109,0.4,0.7,1.1,.053
8,Lavoy Allen,PF,24,IND,14,112,17.5,.521,.500,.294,.000,13.7,20.1,17.1,9.0,0.9,4.1,9.4,17.3,113,97,0.2,0.2,0.4,.180
9,Ray Allen,SG,38,MIA,73,1936,12.8,.590,.549,.214,.569,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,111,109,2.5,1.5,4.1,.101
